卫视频道,#genre#
湖北卫视,http://115.171.86.183:9901/tsfile/live/16048_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.897 MB/s
湖北卫视,http://183.63.15.42:9901/tsfile/live/37353_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.537 MB/s
湖北卫视,http://61.170.164.195:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.537 MB/s
湖北卫视,http://222.185.245.194:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.524 MB/s
湖南卫视,http://58.210.60.226:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.820 MB/s
湖南卫视,http://58.220.219.14:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.820 MB/s
湖南卫视,http://116.233.232.229:7777/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.318 MB/s
湖南卫视,http://222.71.189.186:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.318 MB/s
湖南卫视,http://221.226.4.10:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.296 MB/s
湖南卫视,http://222.92.7.170:3333/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.296 MB/s
湖南卫视,http://115.171.86.183:9901/tsfile/live/16035_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.182 MB/s
湖南卫视,http://61.130.72.18:8888/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.977 MB/s
甘肃卫视,http://116.233.232.229:7777/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 1.282 MB/s
甘肃卫视,http://58.210.60.226:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.867 MB/s
甘肃卫视,http://115.171.86.183:9901/tsfile/live/16057_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.766 MB/s
甘肃卫视,http://222.185.245.194:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.608 MB/s
甘肃卫视,http://180.167.104.105:9901/tsfile/live/0116_2.m3u8?key=txiptv&playlive=1&authid=0 # speed: 0.395 MB/s
